geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100338,2016,dengue,157.33814435457666,201614,1.7420981583102941,0.42597953207761513,0.522974961230344,0.3001983319571332,30,0.1950784114339208,True
1100338,2020,dengue,223.29317852426246,202012,1.686395685012842,0.4070193556072904,0.5062633225549056,0.3002043512410021,33,0.7177656246310309,True
1100338,2022,dengue,51.32453547921725,202222,1.347736687639224,0.2580153013778533,0.44475310689572467,0.3299999999812877,50,0.09134100680722457,True
1100338,2023,dengue,207.6838251655034,202307,2.130386321629157,0.5306015674963233,0.6391158964901312,0.3000000000006497,20,0.7186914642470438,True
1100338,2024,dengue,59.88591007805939,202408,2.066726278442622,0.5161429888269731,0.6201246983150537,0.30005168308129687,22,0.26647284789172787,True
1100346,2011,dengue,298.3077658381634,201108,1.58690093289083,0.36984094011570257,0.4760702798732466,0.30000000000377947,33,1.9527930217112235,True
1100346,2012,dengue,52.69572575970617,201220,1.1852799665478144,0.15631747078915983,0.39103156282712775,0.3299064979272587,50,0.17351701047701668,True
1100346,2013,dengue,546.3554939521151,201305,2.2113494679684806,0.5477874417928712,0.6634048403911522,0.30000000000027494,20,7.434740175199947,True
1100346,2016,dengue,74.57046045143196,201609,1.9682528528928596,0.49193519596314067,0.5940959388356648,0.301839236743636,23,0.19091712563021315,True
1100346,2023,dengue,351.7150738304139,202301,2.3805458926042915,0.5799282832115407,0.7141637677924968,0.3000000000047087,17,1.8251295008921484,True
1100379,2013,dengue,167.469704611382,201308,2.199734014837393,0.5453995831973707,0.6599202044639214,0.30000000000577504,20,1.1006254189853775,True
1100379,2020,dengue,112.77261214627524,202002,2.2160165508583374,0.5487398324653007,0.6658443963042059,0.3004690538282767,20,0.21480768744385417,True
1100379,2023,dengue,54.85110815460898,202311,1.8708081143924853,0.46547163639776395,0.5612502781973451,0.3000041927761266,26,0.10449754038475018,True
1100379,2024,dengue,123.71805569139141,202349,1.4425740419831046,0.30679468027491924,0.43277221262774695,0.30000000002274796,26,2.642044358322847,True
1100403,2011,dengue,72.41234010908539,201113,1.2766923001925463,0.21672590972062458,0.421308459049696,0.32999999998915613,48,0.4951486194240891,True
1100403,2013,dengue,53.366935690126745,201319,1.2737797349897622,0.2149349117977313,0.38636020747603483,0.3033179103600201,50,0.06905365031544905,True
1100403,2022,dengue,55.950277336014096,202220,1.722840461493459,0.4195632025421893,0.5251880601716239,0.3048384757090974,31,0.12395696492329006,True
1100403,2023,dengue,68.00829073172278,202301,1.56122813854042,0.35947862114828893,0.46836844156376795,0.3000000000010517,26,0.21722602579124936,True
1100452,2011,dengue,125.48429463904574,201110,1.436810511975943,0.30401400068769574,0.47414746893520815,0.32999999998827056,37,0.2654839485791174,True
